City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp C
0,papatowai,-46.5619,169.4708,283.91,61,40,9.12,NZ,1702340501,10.760000000000048
1,wildwood,38.5828,-90.6629,280.68,47,0,2.06,US,1702340216,7.53000000000003
2,lebu,-37.6167,-73.65,286.71,85,96,2.6,CL,1702340502,13.560000000000002
3,daulatpur,26.5015,67.9706,290.97,23,79,1.29,PK,1702340502,17.82000000000005
4,al jawf,29.5,38.75,289.59,82,97,0.68,SA,1702340502,16.439999999999998
5,yellowknife,62.456,-114.3525,247.44,76,20,3.6,CA,1702340401,-25.70999999999998
6,sitka,57.0531,-135.33,281.09,71,100,6.17,US,1702340504,7.939999999999998
7,berezovyy,51.6667,135.7,249.01,65,0,2.27,RU,1702340504,-24.139999999999986
8,edinburgh of the seven seas,-37.0676,-12.3116,287.04,90,100,9.78,SH,1702340504,13.890000000000043
9,kerikeri,-35.2268,173.9474,294.77,63,11,2.24,NZ,1702340505,21.620000000000005
10,puerto natales,-51.7236,-72.4875,282.13,72,48,2.55,CL,1702340505,8.980000000000018
11,blackmans bay,-43.0167,147.3167,297.33,46,43,2.01,AU,1702340506,24.180000000000007
12,tryavna,42.8667,25.5,274.16,90,57,1.41,BG,1702340506,1.0100000000000477
13,ribeira grande,38.5167,-28.7,286.91,80,7,3.13,PT,1702340506,13.760000000000048
14,bredasdorp,-34.5322,20.0403,289.22,83,58,6.44,ZA,1702340507,16.07000000000005
15,albany,42.6001,-73.9662,274.79,68,12,2.68,US,1702340337,1.6400000000000432
16,altay,47.8667,88.1167,263.77,93,100,1.24,CN,1702340507,-9.379999999999995
17,lahan,26.7296,86.4951,288.4,64,0,1.62,NP,1702340508,15.25
18,waitangi,-43.9535,-176.5597,288.05,91,100,4.02,NZ,1702340508,14.900000000000034
19,bei'an,24.5399,109.533,285.18,78,100,5.1,CN,1702340461,12.03000000000003
20,orange city,28.9489,-81.2987,287.28,78,0,3.09,US,1702340509,14.129999999999995
21,mandera,3.9366,41.867,301.78,51,100,3.66,KE,1702340509,28.629999999999995
22,ilulissat,69.2167,-51.1,276.16,60,100,6.69,GL,1702340509,3.0100000000000477
23,adamstown,-25.066,-130.1015,294.83,60,5,1.02,PN,1702340510,21.680000000000007
24,faya-largeau,17.9257,19.1043,291.2,37,0,8.62,TD,1702340510,18.05000000000001
